MAIL,FREIGHT,PASSENGERS,DISTANCE_GROUP,DISTANCE,DEST_AIRPORT_ID,DEST_CITY_NAME,DEST,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,ORIGIN,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER,MONTH,QUARTER,YEAR
0.0,44482.0,5133.0,5,2417.0,12173,"Honolulu, HI",HNL,14831,"San Jose, CA",SJC,Southwest Airlines Co.,WN,1,1,2025
0.0,0.0,5134.0,1,221.0,11057,"Charlotte, NC",CLT,11617,"New Bern/Morehead/Beaufort, NC",EWN,Piedmont Airlines,PT,1,1,2025
0.0,13468.0,5135.0,2,861.0,13204,"Orlando, FL",MCO,14100,"Philadelphia, PA",PHL,Southwest Airlines Co.,WN,1,1,2025
0.0,0.0,5136.0,1,160.0,14107,"Phoenix, AZ",PHX,16218,"Yuma, AZ",YUM,SkyWest Airlines Inc.,OO,1,1,2025
0.0,105.0,5138.0,2,672.0,13796,"Oakland, CA",OAK,14747,"Seattle, WA",SEA,Alaska Airlines Inc.,AS,1,1,2025
0.0,0.0,5141.0,1,120.0,11433,"Detroit, MI",DTW,11986,"Grand Rapids, MI",GRR,Delta Air Lines Inc.,DL,1,1,2025
0.0,0.0,5142.0,2,582.0,16869,"Williston, ND",XWA,11292,"Denver, CO",DEN,SkyWest Airlines Inc.,OO,1,1,2025
0.0,18445.0,5142.0,4,1788.0,14107,"Phoenix, AZ",PHX,15304,"Tampa, FL",TPA,Southwest Airlines Co.,WN,1,1,2025
0.0,22.0,5145.0,2,737.0,11775,"Sioux Falls, SD",FSD,11298,"Dallas/Fort Worth, TX",DFW,Envoy Air,MQ,1,1,2025
0.0,630.0,5146.0,5,2486.0,12892,"Los Angeles, CA",LAX,13830,"Kahului, HI",OGG,United Air Lines Inc.,UA,1,1,2025
0.0,780.0,5146.0,4,1851.0,11278,"Washington, DC",DCA,14869,"Salt Lake City, UT",SLC,Delta Air Lines Inc.,DL,1,1,2025
0.0,21.0,5148.0,1,134.0,11982,"Killeen, TX",GRK,11298,"Dallas/Fort Worth, TX",DFW,Envoy Air,MQ,1,1,2025
0.0,0.0,5149.0,2,872.0,15016,"St. Louis, MO",STL,11618,"Newark, NJ",EWR,Republic Airline,YX,1,1,2025
0.0,10669.0,5150.0,2,861.0,14100,"Philadelphia, PA",PHL,13204,"Orlando, FL",MCO,Southwest Airlines Co.,WN,1,1,2025
0.0,4511.0,5151.0,5,2306.0,14747,"Seattle, WA",SEA,12264,"Washington, DC",IAD,Alaska Airlines Inc.,AS,1,1,2025
0.0,0.0,5154.0,1,155.0,11066,"Columbus, OH",CMH,11433,"Detroit, MI",DTW,Republic Airline,YX,1,1,2025
0.0,1137.0,5155.0,2,986.0,11066,"Columbus, OH",CMH,12266,"Houston, TX",IAH,United Air Lines Inc.,UA,1,1,2025
0.0,0.0,5157.0,2,606.0,13930,"Chicago, IL",ORD,10397,"Atlanta, GA",ATL,Frontier Airlines Inc.,F9,1,1,2025
0.0,0.0,5157.0,6,2701.0,12982,"Lihue, HI",LIH,14747,"Seattle, WA",SEA,Delta Air Lines Inc.,DL,1,1,2025
0.0,178.0,5158.0,3,1074.0,14635,"Fort Myers, FL",RSW,12478,"New York, NY",JFK,Delta Air Lines Inc.,DL,1,1,2025
0.0,3.0,5159.0,2,759.0,13204,"Orlando, FL",MCO,11278,"Washington, DC",DCA,Delta Air Lines Inc.,DL,1,1,2025
0.0,0.0,5163.0,1,461.0,11995,"Greensboro/High Point, NC",GSO,12953,"New York, NY",LGA,Republic Airline,YX,1,1,2025
0.0,0.0,5165.0,1,196.0,11775,"Sioux Falls, SD",FSD,13487,"Minneapolis, MN",MSP,Endeavor Air Inc.,9E,1,1,2025
0.0,461.0,5170.0,6,2717.0,12889,"Las Vegas, NV",LAS,12758,"Kona, HI",KOA,Southwest Airlines Co.,WN,1,1,2025
0.0,0.0,5171.0,2,591.0,13232,"Chicago, IL",MDW,10397,"Atlanta, GA",ATL,Frontier Airlines Inc.,F9,1,1,2025
0.0,0.0,5173.0,1,197.0,11697,"Fort Lauderdale, FL",FLL,15304,"Tampa, FL",TPA,Silver Airways,3M,1,1,2025
0.0,3098.0,5173.0,4,1557.0,14679,"San Diego, CA",SAN,15016,"St. Louis, MO",STL,Southwest Airlines Co.,WN,1,1,2025
356.0,21224.0,5173.0,5,2378.0,14100,"Philadelphia, PA",PHL,14747,"Seattle, WA",SEA,Alaska Airlines Inc.,AS,1,1,2025
